"position_code","name","address_code","address","latitude","longitude","remarks"
"1","石巻小学校","","泉町一丁目1番2号","38.428954","141.305277",""
"2","石巻中央公民館","","日和が丘一丁目2番7号","38.427568","141.305218",""
"3","羽黒山公園","","羽黒町一丁目","38.620676","140.983018",""
"4","石巻中学校","","泉町四丁目7番15号","38.428362","141.297932",""
"5","門脇中学校","","泉町四丁目7番12号","38.42811","141.296918",""
"6","宮城県石巻高等学校","","大手町3番13号","38.425857","141.299574",""
"7","市立女子高等学校","","日和が丘二丁目11番8号","38.423571","141.304411",""
"8","山下小学校","","山下町一丁目10番10号","38.432467","141.295852",""
"9","釜小学校","","大街道西二丁目5番1号","38.432577","141.273702",""
"10","住吉小学校","","住吉町二丁目4番27号","38.437657","141.31276",""
"11","蛇田公民館","","蛇田字上中埣26番地","38.444159","141.273764",""
"12","蛇田中学校","","蛇田字新金沼 20番地の1","38.446527","141.264116",""
"13","開北小学校","","大橋一丁目2番1","38.44301","141.314294",""
"14","住吉中学校","","東中里三丁目3番1号","38.442527","141.306216",""
"15","中里小学校","","中里五丁目7番1号","38.444069","141.297488",""
"16","湊小学校","","吉野町一丁目3番21号","38.42702","141.316452",""
"17","市立女子商業高等学校","","渡波字浜曽根山1番地","38.416584","141.350269",""
"18","総合運動公園","","南境字新小堤18番地","38.455713","141.307869",""
"19","稲井中学校","","真野字八の坪116番地","38.446518","141.335568",""
